chr,start,end,value
chr6,32022155,32022266,0.12
chr6,32022430,32022561,0.12
chr6,32022626,32022676,0.12
chr6,32022676,32022757,0.25
chr6,32022757,32022807,0.12
chr6,32022866,32022997,0.12
chr6,32023092,32023223,0.12
chr6,32023314,32023432,0.12
chr6,32023432,32023445,0.25
chr6,32023445,32023563,0.12
chr6,32024127,32024222,0.12
chr6,32024222,32024242,0.25
chr6,32024242,32024258,0.37
chr6,32024258,32024353,0.25
chr6,32024353,32024373,0.12
chr6,32024447,32024578,0.37
chr6,32025072,32025203,0.12
chr6,32025798,32025815,0.12
chr6,32025815,32025819,0.37
chr6,32025819,32025919,0.5
chr6,32025919,32025929,0.62
chr6,32025929,32025946,0.5
chr6,32025946,32025950,0.25
chr6,32025950,32025987,0.12
chr6,32025987,32026050,0.37
chr6,32026050,32026118,0.25
chr6,32026328,32026459,0.25
chr6,32026971,32027102,0.12
chr6,32027250,32027381,0.12
chr6,32028126,32028257,0.25
chr6,32028354,32028485,0.12
chr6,32028492,32028595,0.12
chr6,32028595,32028596,0.75
chr6,32028596,32028623,0.87
chr6,32028623,32028630,0.75
chr6,32028630,32028695,0.87
chr6,32028695,32028726,1.25
chr6,32028726,32028727,0.62
chr6,32028727,32028761,0.62
chr6,32028761,32028826,0.5
chr6,32028826,32028858,0.12
chr6,32029036,32029102,0.12
chr6,32029102,32029167,0.25
chr6,32029167,32029233,0.12
chr6,32029877,32030008,0.12
chr6,32030062,32030092,0.37
chr6,32030092,32030193,0.5
chr6,32030193,32030223,0.12
chr6,32031193,32031285,0.12
chr6,32031285,32031324,0.37
chr6,32031324,32031338,0.25
chr6,32031338,32031416,0.37
chr6,32031416,32031445,0.12
chr6,32031445,32031451,0.5
chr6,32031451,32031469,0.62
chr6,32031469,32031472,0.5
chr6,32031472,32031565,0.62
chr6,32031565,32031576,0.75
chr6,32031576,32031582,0.37
chr6,32031582,32031600,0.25
chr6,32031600,32031603,0.37
chr6,32031603,32031696,0.25
chr6,32031696,32031731,0.12
chr6,32031753,32031773,0.12
chr6,32031773,32031784,0.62
chr6,32031784,32031835,0.75
chr6,32031835,32031884,1.12
chr6,32031884,32031904,1
chr6,32031904,32031915,0.5
chr6,32031915,32031945,0.37
chr6,32031945,32031956,0.62
chr6,32031956,32031966,0.75
chr6,32031966,32031983,0.37
chr6,32031983,32032006,0.5
chr6,32032006,32032074,0.62
chr6,32032074,32032076,0.87
chr6,32032076,32032087,0.62
chr6,32032087,32032114,0.5
chr6,32032114,32032137,0.37
chr6,32032137,32032181,0.25
chr6,32032181,32032205,0.37
chr6,32032205,32032312,0.12
chr6,32032595,32032726,0.12
chr6,32033119,32033250,0.12
chr6,32033570,32033668,0.12
chr6,32033668,32033701,0.25
chr6,32033701,32033799,0.12
chr6,32033831,32033844,0.12
chr6,32033844,32033864,0.25
chr6,32033864,32033962,0.37
chr6,32033962,32033975,0.25
chr6,32033975,32033995,0.12
chr6,32034309,32034440,0.37
chr6,32034489,32034501,0.12
chr6,32034501,32034539,0.25
chr6,32034539,32034540,0.5
chr6,32034540,32034589,0.62
chr6,32034589,32034604,0.75
chr6,32034604,32034620,0.87
chr6,32034620,32034632,0.75
chr6,32034632,32034670,0.62
chr6,32034670,32034671,0.37
chr6,32034671,32034720,0.25
chr6,32034720,32034735,0.12
chr6,32034982,32034997,0.12
chr6,32034997,32035022,0.25
chr6,32035022,32035113,0.5
chr6,32035113,32035128,0.37
chr6,32035128,32035153,0.25
chr6,32035244,32035375,0.12
chr6,32036068,32036199,0.25
chr6,32036541,32036672,0.12
chr6,32036745,32036817,0.12
chr6,32036817,32036876,0.25
chr6,32036876,32036927,0.12
chr6,32036927,32036938,0.37
chr6,32036938,32036948,0.75
chr6,32036948,32036968,0.62
chr6,32036968,32036972,0.75
#bedGraph section chr6:32036972-32095759,,,
chr6,32036972,32037020,1
chr6,32037020,32037058,1.12
chr6,32037058,32037069,0.87
chr6,32037069,32037099,0.5
chr6,32037099,32037103,0.37
chr6,32037103,32037151,0.12
chr6,32038304,32038376,0.12
chr6,32038376,32038435,0.25
chr6,32038435,32038463,0.12
chr6,32038463,32038507,0.25
chr6,32038507,32038543,0.12
chr6,32038543,32038594,0.25
chr6,32038594,32038656,0.12
chr6,32038656,32038674,0.25
chr6,32038674,32038787,0.12
chr6,32039148,32039177,0.12
chr6,32039177,32039191,0.25
chr6,32039191,32039279,0.37
chr6,32039279,32039308,0.25
chr6,32039308,32039322,0.12
chr6,32040557,32040632,0.12
chr6,32040632,32040688,0.25
chr6,32040688,32040763,0.12
chr6,32041218,32041349,0.12
chr6,32041796,32041927,0.12
chr6,32042241,32042311,0.12
chr6,32042311,32042326,0.25
chr6,32042326,32042372,0.5
chr6,32042372,32042442,0.37
chr6,32042442,32042457,0.25
chr6,32042943,32043074,0.25
chr6,32043127,32043168,0.12
chr6,32043168,32043258,0.25
chr6,32043258,32043299,0.12
chr6,32043603,32043611,0.12
chr6,32043611,32043734,0.25
chr6,32043734,32043742,0.12
chr6,32043803,32043934,0.12
chr6,32044446,32044577,0.12
chr6,32044824,32044827,0.12
chr6,32044827,32044940,0.25
chr6,32044940,32044955,0.5
chr6,32044955,32044958,0.37
chr6,32044958,32044978,0.25
chr6,32044978,32045071,0.37
chr6,32045071,32045109,0.12
chr6,32045485,32045616,0.25
chr6,32045636,32045767,0.12
chr6,32045959,32046051,0.12
chr6,32046051,32046090,0.25
chr6,32046090,32046182,0.12
chr6,32046211,32046291,0.12
chr6,32046291,32046342,0.25
chr6,32046342,32046422,0.12
chr6,32046562,32046672,0.12
chr6,32046672,32046693,0.37
chr6,32046693,32046708,0.25
chr6,32046708,32046803,0.37
chr6,32046803,32046839,0.12
chr6,32047044,32047175,0.12
chr6,32047501,32047632,0.12
chr6,32047684,32047695,0.37
chr6,32047695,32047698,0.5
chr6,32047698,32047742,0.87
chr6,32047742,32047815,1.12
chr6,32047815,32047826,0.75
chr6,32047826,32047829,0.62
chr6,32047829,32047873,0.25
chr6,32048075,32048206,0.12
chr6,32048250,32048266,0.12
chr6,32048266,32048381,0.5
chr6,32048381,32048397,0.37
chr6,32048422,32048489,0.12
chr6,32048489,32048544,0.37
chr6,32048544,32048553,0.75
chr6,32048553,32048620,0.62
chr6,32048620,32048638,0.37
chr6,32048638,32048664,0.5
chr6,32048664,32048675,0.62
chr6,32048675,32048769,0.25
chr6,32048769,32048795,0.12
chr6,32049226,32049357,0.25
chr6,32049421,32049552,0.12
chr6,32049700,32049721,0.12
chr6,32049721,32049831,0.25
chr6,32049831,32049852,0.12
chr6,32049902,32050024,0.12
chr6,32050024,32050033,0.37
chr6,32050033,32050051,0.25
chr6,32050051,32050101,0.37
chr6,32050101,32050155,0.5
chr6,32050155,32050167,0.25
chr6,32050167,32050182,0.37
chr6,32050182,32050232,0.25
chr6,32050232,32050298,0.12
chr6,32050522,32050554,0.25
chr6,32050554,32050607,0.5
chr6,32050607,32050653,0.87
chr6,32050653,32050685,0.62
chr6,32050685,32050738,0.37
chr6,32051051,32051164,0.12
chr6,32051164,32051182,0.25
chr6,32051182,32051295,0.12
chr6,32051711,32051740,0.5
chr6,32051740,32051830,0.62
chr6,32051830,32051842,0.75
chr6,32051842,32051854,0.25
chr6,32051854,32051871,0.37
chr6,32051871,32051961,0.25
chr6,32051961,32051985,0.12
chr6,32052018,32052073,0.12
chr6,32052073,32052149,0.25
chr6,32052149,32052204,0.12
chr6,32052574,32052646,0.25
chr6,32052646,32052705,0.5
chr6,32052705,32052777,0.25
chr6,32053270,32053401,0.5
chr6,32054471,32054602,0.12
chr6,32054615,32054746,0.37
chr6,32055151,32055162,0.25
chr6,32055162,32055207,0.5
chr6,32055207,32055260,0.62
chr6,32055260,32055282,1
chr6,32055282,32055293,0.75
chr6,32055293,32055296,0.5
chr6,32055296,32055338,0.62
chr6,32055338,32055362,0.5
chr6,32055362,32055363,0.62
chr6,32055363,32055366,0.75
chr6,32055366,32055391,1
chr6,32055391,32055416,0.62
chr6,32055416,32055427,0.75
chr6,32055427,32055432,0.62
chr6,32055432,32055446,0.75
chr6,32055446,32055480,1
chr6,32055480,32055484,1.12
chr6,32055484,32055493,1.25
chr6,32055493,32055494,1.37
chr6,32055494,32055497,1.25
chr6,32055497,32055508,1
chr6,32055508,32055544,1.25
chr6,32055544,32055547,1.49
chr6,32055547,32055563,1.37
chr6,32055563,32055573,1.25
chr6,32055573,32055577,1.37
chr6,32055577,32055587,1.12
chr6,32055587,32055611,1.25
chr6,32055611,32055615,1.12
chr6,32055615,32055624,1
chr6,32055624,32055639,0.75
chr6,32055639,32055675,0.5
chr6,32055675,32055690,0.25
chr6,32055690,32055702,0.37
chr6,32055702,32055704,0.5
chr6,32055704,32055718,0.37
chr6,32055718,32055749,0.25
chr6,32055749,32055821,0.37
chr6,32055821,32055833,0.25
chr6,32055833,32055880,0.12
chr6,32055902,32055933,0.12
chr6,32055933,32056033,0.25
chr6,32056033,32056064,0.12
chr6,32056266,32056369,0.37
chr6,32056369,32056397,0.5
chr6,32056397,32056500,0.12
chr6,32056704,32056835,0.37
chr6,32057397,32057453,0.12
chr6,32057453,32057528,0.25
chr6,32057528,32057552,0.12
chr6,32057552,32057559,0.25
chr6,32057559,32057584,0.62
chr6,32057584,32057601,0.5
chr6,32057601,32057683,0.62
chr6,32057683,32057690,0.5
chr6,32057690,32057708,0.12
chr6,32057708,32057732,0.37
chr6,32057732,32057839,0.25
chr6,32057985,32058116,0.5
chr6,32058417,32058548,0.12
chr6,32058657,32058707,0.12
chr6,32058707,32058788,0.37
chr6,32058788,32058838,0.25
chr6,32058858,32058873,0.12
chr6,32058873,32058989,0.25
chr6,32058989,32059004,0.12
chr6,32059648,32059779,0.12
chr6,32059979,32060110,0.25
chr6,32060156,32060287,0.12
chr6,32060475,32060504,0.12
chr6,32060504,32060565,0.37
chr6,32060565,32060606,0.62
chr6,32060606,32060635,0.5
chr6,32060635,32060696,0.25
chr6,32060878,32060947,0.37
chr6,32060947,32061009,0.75
chr6,32061009,32061078,0.37
chr6,32061141,32061272,0.12
chr6,32061319,32061355,0.12
chr6,32061355,32061450,0.25
chr6,32061450,32061481,0.12
chr6,32061481,32061486,0.25
chr6,32061486,32061612,0.12
chr6,32061882,32061901,0.37
chr6,32061901,32061960,0.75
chr6,32061960,32062013,1.12
chr6,32062013,32062032,0.75
chr6,32062032,32062091,0.37
chr6,32062190,32062230,0.12
chr6,32062230,32062321,0.25
chr6,32062321,32062361,0.12
chr6,32062509,32062640,0.12
chr6,32062786,32062805,0.12
chr6,32062805,32062917,0.25
chr6,32062917,32062936,0.12
chr6,32063011,32063142,0.12
chr6,32063415,32063437,0.12
chr6,32063437,32063546,0.25
chr6,32063546,32063568,0.12
chr6,32064004,32064020,0.25
chr6,32064020,32064049,0.37
chr6,32064049,32064120,0.5
chr6,32064120,32064135,0.62
chr6,32064135,32064141,0.37
chr6,32064141,32064151,0.5
chr6,32064151,32064180,0.37
chr6,32064180,32064208,0.25
chr6,32064208,32064229,0.62
chr6,32064229,32064251,1
chr6,32064251,32064271,0.87
chr6,32064271,32064272,1
chr6,32064272,32064279,0.87
chr6,32064279,32064307,1
chr6,32064307,32064338,1.12
chr6,32064338,32064339,1.37
chr6,32064339,32064360,1
chr6,32064360,32064402,0.62
chr6,32064402,32064410,0.5
chr6,32064410,32064438,0.37
chr6,32064438,32064469,0.25
chr6,32064504,32064548,0.25
chr6,32064548,32064635,0.37
chr6,32064635,32064679,0.12
chr6,32065026,32065084,0.12
chr6,32065084,32065099,0.25
chr6,32065099,32065157,0.5
chr6,32065157,32065163,0.37
chr6,32065163,32065215,0.5
chr6,32065215,32065230,0.37
chr6,32065230,32065294,0.12
chr6,32065688,32065819,0.12
chr6,32065890,32065938,0.12
chr6,32065938,32066021,0.25
chr6,32066021,32066069,0.12
chr6,32066080,32066169,0.12
chr6,32066169,32066211,0.25
chr6,32066211,32066300,0.12
chr6,32066501,32066614,0.12
chr6,32066614,32066632,0.25
chr6,32066632,32066734,0.12
chr6,32066734,32066745,0.25
chr6,32066745,32066774,0.12
chr6,32066774,32066806,0.25
chr6,32066806,32066865,0.62
chr6,32066865,32066905,0.5
chr6,32066905,32066937,0.37
chr6,32067011,32067030,0.12
chr6,32067030,32067142,0.37
chr6,32067142,32067161,0.25
chr6,32067464,32067544,0.12
chr6,32067544,32067595,0.25
chr6,32067595,32067672,0.12
chr6,32067672,32067675,0.25
chr6,32067675,32067803,0.12
chr6,32068136,32068199,0.12
chr6,32068199,32068267,0.25
chr6,32068267,32068330,0.12
chr6,32068373,32068504,0.12
chr6,32068584,32068599,0.12
chr6,32068599,32068715,0.25
chr6,32068715,32068730,0.12
chr6,32068971,32068989,0.12
chr6,32068989,32069037,0.25
chr6,32069037,32069102,0.37
chr6,32069102,32069120,0.25
chr6,32069120,32069168,0.12
chr6,32069617,32069748,0.12
chr6,32070007,32070016,0.12
chr6,32070016,32070107,0.25
chr6,32070107,32070138,0.37
chr6,32070138,32070147,0.25
chr6,32070147,32070178,0.12
chr6,32070178,32070186,0.37
chr6,32070186,32070235,0.5
chr6,32070235,32070238,0.62
chr6,32070238,32070309,0.5
chr6,32070309,32070317,0.25
chr6,32070317,32070366,0.12
chr6,32070369,32070425,0.12
chr6,32070425,32070500,0.25
chr6,32070500,32070556,0.12
chr6,32070652,32070662,0.12
chr6,32070662,32070783,0.25
chr6,32070783,32070793,0.12
chr6,32071678,32071718,0.12
chr6,32071718,32071809,0.25
chr6,32071809,32071849,0.12
chr6,32071876,32071903,0.12
chr6,32071903,32072007,0.25
chr6,32072007,32072034,0.12
chr6,32072079,32072088,0.12
chr6,32072088,32072210,0.25
chr6,32072210,32072219,0.12
chr6,32072437,32072568,0.37
chr6,32072654,32072785,0.12
chr6,32072796,32072927,0.25
chr6,32073206,32073231,0.12
chr6,32073231,32073262,0.25
chr6,32073262,32073309,0.5
chr6,32073309,32073337,0.62
chr6,32073337,32073362,0.5
chr6,32073362,32073393,0.37
chr6,32073393,32073440,0.12
chr6,32073848,32073934,0.12
chr6,32073934,32073979,0.25
chr6,32073979,32073995,0.12
chr6,32073995,32074065,0.25
chr6,32074065,32074126,0.12
chr6,32074702,32074724,0.12
chr6,32074724,32074787,0.37
chr6,32074787,32074812,0.5
chr6,32074812,32074833,0.62
chr6,32074833,32074855,0.5
chr6,32074855,32074918,0.25
chr6,32074918,32074943,0.12
chr6,32075591,32075719,0.25
chr6,32075719,32075722,0.37
chr6,32075722,32075850,0.12
chr6,32075933,32075952,0.25
chr6,32075952,32075973,0.37
chr6,32075973,32076064,0.62
chr6,32076064,32076083,0.37
chr6,32076083,32076104,0.25
chr6,32076429,32076442,0.12
chr6,32076442,32076500,0.37
chr6,32076500,32076560,0.5
chr6,32076560,32076573,0.37
chr6,32076573,32076631,0.12
chr6,32076850,32076981,0.12
chr6,32077470,32077578,0.12
chr6,32077578,32077601,0.25
chr6,32077601,32077709,0.12
chr6,32077721,32077839,0.25
chr6,32077839,32077840,0.37
chr6,32077840,32077852,0.5
chr6,32077852,32077854,0.25
chr6,32077854,32077970,0.37
chr6,32077970,32077971,0.25
chr6,32077971,32077985,0.12
chr6,32078057,32078075,0.12
chr6,32078075,32078083,0.5
chr6,32078083,32078188,0.75
chr6,32078188,32078206,0.62
chr6,32078206,32078214,0.25
chr6,32078254,32078385,0.12
chr6,32078579,32078615,0.12
chr6,32078615,32078675,0.5
chr6,32078675,32078710,0.62
chr6,32078710,32078746,0.5
chr6,32078746,32078806,0.12
chr6,32079171,32079302,0.12
chr6,32079349,32079480,0.25
chr6,32079499,32079630,0.25
chr6,32080250,32080348,0.12
chr6,32080348,32080381,0.37
chr6,32080381,32080440,0.25
chr6,32080440,32080454,0.62
chr6,32080454,32080479,0.75
chr6,32080479,32080571,0.5
chr6,32080571,32080585,0.12
chr6,32080843,32080904,0.25
chr6,32080904,32080974,0.37
chr6,32080974,32081035,0.12
chr6,32081362,32081377,0.12
chr6,32081377,32081445,0.5
chr6,32081445,32081493,0.62
chr6,32081493,32081508,0.5
chr6,32081508,32081576,0.12
chr6,32082026,32082120,0.37
chr6,32082120,32082157,0.5
chr6,32082157,32082251,0.12
chr6,32082624,32082755,0.12
chr6,32082765,32082782,0.25
chr6,32082782,32082849,0.37
chr6,32082849,32082896,0.5
chr6,32082896,32082913,0.25
chr6,32082913,32082916,0.12
chr6,32082916,32082980,0.25
chr6,32082980,32083047,0.12
chr6,32083153,32083269,0.25
chr6,32083269,32083284,0.37
chr6,32083284,32083400,0.12
chr6,32083441,32083477,0.12
chr6,32083477,32083572,0.25
chr6,32083572,32083608,0.12
chr6,32083706,32083837,0.37
chr6,32083880,32083889,0.12
chr6,32083889,32084011,0.25
chr6,32084011,32084020,0.12
chr6,32084704,32084835,0.25
chr6,32084945,32085076,0.12
chr6,32085287,32085418,0.12
chr6,32085623,32085754,0.75
chr6,32085766,32085806,0.5
chr6,32085806,32085846,0.75
chr6,32085846,32085894,0.87
chr6,32085894,32085897,1.12
chr6,32085897,32085937,0.62
chr6,32085937,32085977,0.37
chr6,32085977,32086025,0.25
chr6,32086196,32086262,0.12
chr6,32086262,32086317,0.25
chr6,32086317,32086327,0.5
chr6,32086327,32086350,0.37
chr6,32086350,32086363,0.62
chr6,32086363,32086393,1.37
chr6,32086393,32086448,1.25
chr6,32086448,32086449,1
chr6,32086449,32086481,1.12
chr6,32086481,32086494,0.87
chr6,32086494,32086580,0.12
chr6,32086625,32086655,0.12
chr6,32086655,32086667,0.25
chr6,32086667,32086701,0.37
chr6,32086701,32086709,0.5
chr6,32086709,32086725,1
chr6,32086725,32086743,1.12
chr6,32086743,32086754,1.49
chr6,32086754,32086756,1.87
chr6,32086756,32086767,1.74
chr6,32086767,32086782,1.87
chr6,32086782,32086786,1.99
chr6,32086786,32086798,1.87
chr6,32086798,32086805,1.74
chr6,32086805,32086832,1.87
chr6,32086832,32086840,1.74
chr6,32086840,32086842,1.25
chr6,32086842,32086856,1.37
chr6,32086856,32086874,1.25
chr6,32086874,32086885,0.87
chr6,32086885,32086898,0.5
chr6,32086898,32086913,0.37
chr6,32086913,32086936,0.25
chr6,32086936,32086973,0.12
chr6,32086974,32087105,0.12
chr6,32087245,32087314,0.12
chr6,32087314,32087376,0.5
chr6,32087376,32087445,0.37
chr6,32088512,32088640,0.12
chr6,32088640,32088643,0.5
chr6,32088643,32088734,0.37
chr6,32088734,32088771,0.5
chr6,32088771,32088865,0.12
chr6,32089421,32089552,0.12
chr6,32089618,32089634,0.37
chr6,32089634,32089637,0.5
chr6,32089637,32089732,0.75
chr6,32089732,32089749,0.87
chr6,32089749,32089765,0.5
chr6,32089765,32089768,0.37
chr6,32089768,32089863,0.12
chr6,32089941,32089972,0.12
chr6,32089972,32089990,0.25
chr6,32089990,32090072,0.37
chr6,32090072,32090103,0.25
chr6,32090103,32090121,0.12
chr6,32090457,32090588,0.12
chr6,32090691,32090733,0.12
chr6,32090733,32090822,0.25
chr6,32090822,32090827,0.12
chr6,32090827,32090834,0.37
chr6,32090834,32090864,0.5
chr6,32090864,32090958,0.37
chr6,32090958,32090965,0.12
chr6,32091029,32091160,0.12
chr6,32091176,32091307,0.37
chr6,32091356,32091472,0.25
chr6,32091472,32091474,0.62
chr6,32091474,32091487,0.75
chr6,32091487,32091531,0.5
chr6,32091531,32091598,0.75
chr6,32091598,32091603,1
chr6,32091603,32091605,0.62
chr6,32091605,32091629,0.5
chr6,32091629,32091631,0.62
chr6,32091631,32091662,0.87
chr6,32091662,32091729,0.62
chr6,32091729,32091760,0.37
chr6,32091760,32091762,0.25
chr6,32091797,32091870,0.12
chr6,32091870,32091928,0.25
chr6,32091928,32092001,0.12
chr6,32092033,32092164,0.12
chr6,32092207,32092234,0.12
chr6,32092234,32092338,0.25
chr6,32092338,32092365,0.12
chr6,32092470,32092601,0.25
chr6,32092716,32092847,0.12
chr6,32092896,32092950,0.25
chr6,32092950,32093027,0.62
chr6,32093027,32093047,0.37
chr6,32093047,32093081,0.75
chr6,32093081,32093178,0.37
chr6,32093248,32093368,0.12
chr6,32093368,32093379,0.25
chr6,32093379,32093471,0.12
chr6,32093471,32093499,0.37
chr6,32093499,32093602,0.25
chr6,32093711,32093814,0.12
chr6,32093814,32093842,0.37
chr6,32093842,32093844,0.25
chr6,32093844,32093930,0.37
chr6,32093930,32093945,0.62
chr6,32093945,32093975,0.37
chr6,32093975,32094053,0.25
chr6,32094053,32094061,0.37
chr6,32094061,32094108,0.12
chr6,32094108,32094125,0.25
chr6,32094125,32094155,0.5
chr6,32094155,32094181,0.62
chr6,32094181,32094184,0.87
chr6,32094184,32094239,0.75
chr6,32094239,32094256,0.62
chr6,32094256,32094286,0.37
chr6,32094286,32094312,0.25
chr6,32094369,32094382,0.25
chr6,32094382,32094490,0.37
chr6,32094490,32094500,0.5
chr6,32094500,32094513,0.25
chr6,32094513,32094543,0.12
chr6,32094543,32094607,0.25
chr6,32094607,32094621,0.5
chr6,32094621,32094639,0.37
chr6,32094639,32094674,0.62
chr6,32094674,32094738,0.5
chr6,32094738,32094746,0.25
chr6,32094746,32094770,0.5
chr6,32094770,32094794,0.25
chr6,32094794,32094800,0.37
chr6,32094800,32094810,0.5
chr6,32094810,32094814,0.62
chr6,32094814,32094817,0.75
chr6,32094817,32094837,0.87
chr6,32094837,32094847,1
chr6,32094847,32094871,1.12
chr6,32094871,32094872,1.37
chr6,32094872,32094877,1.49
chr6,32094877,32094892,1.37
chr6,32094892,32094921,1.49
chr6,32094921,32094925,1.74
chr6,32094925,32094931,1.62
chr6,32094931,32094941,1.49
chr6,32094941,32094945,1.37
chr6,32094945,32094948,1.25
chr6,32094948,32094968,1.12
chr6,32094968,32094978,1
chr6,32094978,32094985,0.87
chr6,32094985,32095002,1
chr6,32095002,32095003,0.75
chr6,32095003,32095008,0.62
chr6,32095008,32095020,0.5
chr6,32095020,32095023,0.62
chr6,32095023,32095046,0.5
chr6,32095046,32095052,0.62
chr6,32095052,32095086,0.37
chr6,32095086,32095093,0.5
chr6,32095093,32095108,0.75
chr6,32095108,32095109,1
chr6,32095109,32095111,1.12
chr6,32095111,32095116,1.25
chr6,32095116,32095125,1.12
chr6,32095125,32095144,1.25
chr6,32095144,32095147,1.49
chr6,32095147,32095150,1.62
chr6,32095150,32095151,1.87
chr6,32095151,32095160,1.74
chr6,32095160,32095165,1.87
chr6,32095165,32095170,1.99
chr6,32095170,32095175,2.12
chr6,32095175,32095176,2.24
chr6,32095176,32095177,2.49
chr6,32095177,32095181,2.37
chr6,32095181,32095185,2.49
chr6,32095185,32095193,2.62
chr6,32095193,32095206,2.74
chr6,32095206,32095207,2.86
chr6,32095207,32095214,2.99
chr6,32095214,32095216,3.11
chr6,32095216,32095217,3.24
chr6,32095217,32095220,3.11
chr6,32095220,32095223,3.24
chr6,32095223,32095224,3.36
chr6,32095224,32095225,3.11
chr6,32095225,32095233,3.36
chr6,32095233,32095235,3.49
chr6,32095235,32095239,3.61
chr6,32095239,32095240,3.49
chr6,32095240,32095241,3.49
chr6,32095241,32095242,3.61
chr6,32095242,32095243,3.61
chr6,32095243,32095247,3.74
chr6,32095247,32095253,3.99
chr6,32095253,32095254,4.11
chr6,32095254,32095256,4.24
chr6,32095256,32095257,4.11
chr6,32095257,32095258,4.36
chr6,32095258,32095263,4.48
chr6,32095263,32095266,4.98
chr6,32095266,32095268,5.48
chr6,32095268,32095270,5.98
chr6,32095270,32095272,6.1
chr6,32095272,32095273,6.23
chr6,32095273,32095275,6.73
chr6,32095275,32095276,6.48
chr6,32095276,32095277,6.6
chr6,32095277,32095278,6.73
chr6,32095278,32095281,6.73
chr6,32095281,32095282,6.85
chr6,32095282,32095286,6.98
chr6,32095286,32095288,7.23
chr6,32095288,32095290,7.47
chr6,32095290,32095291,7.6
chr6,32095291,32095294,7.47
chr6,32095294,32095295,7.72
chr6,32095295,32095296,7.85
chr6,32095296,32095300,7.97
chr6,32095300,32095301,8.1
chr6,32095301,32095302,7.97
chr6,32095302,32095306,8.1
chr6,32095306,32095307,7.97
chr6,32095307,32095308,7.72
chr6,32095308,32095309,7.85
chr6,32095309,32095312,7.97
chr6,32095312,32095316,7.85
chr6,32095316,32095317,7.72
chr6,32095317,32095318,7.85
chr6,32095318,32095320,7.97
chr6,32095320,32095321,8.1
chr6,32095321,32095324,8.72
chr6,32095324,32095325,8.72
chr6,32095325,32095326,9.34
chr6,32095326,32095327,9.47
chr6,32095327,32095331,9.59
chr6,32095331,32095332,9.72
chr6,32095332,32095337,9.84
chr6,32095337,32095338,10.22
chr6,32095338,32095344,10.09
chr6,32095344,32095345,10.22
chr6,32095345,32095346,10.34
chr6,32095346,32095347,10.59
chr6,32095347,32095350,10.59
chr6,32095350,32095351,10.71
chr6,32095351,32095354,10.59
chr6,32095354,32095356,10.71
chr6,32095356,32095358,10.46
chr6,32095358,32095359,10.71
